City,Room Type,Price,Guests,Rating,lat,lng
"Alappuzha, India",Hotel/Other,698,6,4.650204081632653,9.4925,76.39202
"Aryad South, India",Hotel/Other,728,16,4.650204081632653,9.52124,76.35633
"Candolim, India",Entire Place,722,13,5.0,15.526,73.787
"Gurgaon, India",Hotel/Other,481,16,4.86,28.37695,77.07406
"Saligao, India",Entire Place,481,16,4.650204081632653,15.54588,73.78839
"Gurgaon, India",Hotel/Other,447,14,4.5,28.27546,76.85812
"Barashiv, India",Private Room,481,16,4.650204081632653,18.49095,72.90269
"Lonavla, India",Entire Place,447,15,4.25,18.77835,73.38543
"Vagator, India",Entire Place,477,14,4.88,15.604,73.752
"Calangute, India",Entire Place,680,16,4.650204081632653,15.53535,73.7681
"Alibag, India",Entire Place,458,16,4.650204081632653,18.791,72.882
"Bengaluru, India",Hotel/Other,481,10,3.33,13.13812,77.53386
"Panchgani, India",Entire Place,474,12,4.75,17.92529,73.76488
"Goa, India",Entire Place,457,12,4.650204081632653,15.49949,73.7951
"Candolim, India",Entire Place,480,9,4.36,15.51924,73.76495
"Chennai, India",Entire Place,442,8,4.650204081632653,12.88,80.24946
"Assagao, India",Entire Place,457,10,4.75,15.601,73.783
"Haryana, India",Hotel/Other,447,16,4.650204081632653,28.37241,77.05293
"Goa, India",Entire Place,480,11,4.650204081632653,15.5421,73.81115
"Mirik, India",Entire Place,457,14,4.6,26.88462,88.18305
"Vagator, India",Entire Place,477,7,4.650204081632653,15.5949,73.75217
"Udaipur, India",Entire Place,421,9,4.650204081632653,24.4972,73.68054
"North Goa, India",Entire Place,481,16,4.650204081632653,15.55815,73.77549
"Anjuna, India",Entire Place,468,7,4.88,15.6,73.747
"Manali, India",Entire Place,448,16,4.650204081632653,32.25024,77.17428
"Hosur , India",Hotel/Other,459,16,4.650204081632653,12.801,77.829
"Ashvem Beach, India",Hotel/Other,463,14,4.650204081632653,15.64196,73.71895
"Anjuna, India",Entire Place,392,9,4.79,15.58744,73.74278
"Candolim, India",Entire Place,457,10,4.650204081632653,15.51186,73.76857
"Assagao, India",Entire Place,451,6,4.650204081632653,15.59817,73.7845
"Rishikesh, India",Entire Place,449,11,4.650204081632653,30.1241,78.30721
"Manali, India",Private Room,481,12,4.650204081632653,32.24638,77.18152
"Gurugram, India",Entire Place,421,12,4.54,28.27229,76.85969
"Mumbai, India",Entire Place,428,4,4.8,19.1303,72.81246
"Navelim, India",Hotel/Other,722,3,4.84,15.25535,73.9238
"Kune N.m., India",Entire Place,397,16,3.25,18.76399,73.39248
"Haleyangadi, India",Entire Place,481,16,4.650204081632653,13.04605,74.78076
"Mumbai, India",Private Room,481,16,4.650204081632653,19.19027,72.83503
"Dodamarg Maharashtra, India",Hotel/Other,463,16,4.650204081632653,15.68105,74.05407
"Rishikesh, India",Hotel/Other,445,16,4.650204081632653,30.10242,78.29796
"Palampur, India",Entire Place,460,10,4.650204081632653,32.11185,76.53686
"Kochi, India",Hotel/Other,448,2,4.650204081632653,9.9695,76.24438
"Alappuzha, India",Hotel/Other,468,15,5.0,9.46028,76.36189
"Varanasi, India",Hotel/Other,461,2,4.650204081632653,25.30747,83.00868
"Khingar, India",Entire Place,463,12,4.650204081632653,17.90655,73.82809
"Udaipur, India",Hotel/Other,481,16,4.650204081632653,24.57761,73.68657
"Kanthavli, India",Entire Place,481,16,4.650204081632653,18.89997,73.0476
"Lonavla, India",Entire Place,393,15,4.650204081632653,18.7836,73.45572
"Penha de França, India",Entire Place,481,10,4.650204081632653,15.55129,73.81805
"Kodaikanal, India",Entire Place,476,12,4.67,10.26,77.478
"Candolim, India",Entire Place,416,8,4.94,15.519,73.775
"Anjuna - Vagator, India",Entire Place,410,7,4.73,15.603,73.752
"Verla, India",Entire Place,419,12,5.0,15.585,73.793
"Kothali, India",Private Room,460,10,4.650204081632653,30.22123,79.366
"Candolim, India",Entire Place,601,10,4.4,15.51255,73.76818
"Jaipur, India",Entire Place,421,6,4.33,26.82116,75.70489
"Amritsar, India",Hotel/Other,481,16,5.0,31.693,74.811
"Mumbai, India",Private Room,481,16,4.650204081632653,19.14991,72.89329
"Puthenvelikara, India",Entire Place,409,10,4.92,10.18,76.236
"Ramnagar, India",Hotel/Other,481,12,4.67,29.33,79.049
"Lonavla, India",Entire Place,429,16,4.650204081632653,18.76402,73.50148
"Pawna, India",Entire Place,434,16,5.0,18.64502,73.50265
"Lonavla, India",Entire Place,397,15,4.83,18.74584,73.4121
"Parra, India",Entire Place,421,12,4.83,15.57267,73.77863
"Bangalore Urban, India",Entire Place,481,10,5.0,13.18346,77.57569
"Lonavala, India",Entire Place,419,16,4.67,18.76598,73.38261
"Gurugram, India",Hotel/Other,481,4,4.650204081632653,28.41086,77.11119
"Bani Park, India",Hotel/Other,481,16,4.650204081632653,26.925,75.801
"Agra, India",Private Room,481,4,4.57,27.14421,78.04574
"Mussoorie, India",Hotel/Other,475,16,5.0,30.45416,78.08309
"Dehradun, India",Entire Place,481,12,4.650204081632653,30.4101,78.06086
"Kasauli, India",Entire Place,481,12,4.650204081632653,30.89526,77.01681
"Bhimtal, India",Private Room,481,6,4.650204081632653,29.35864,79.53659
"Igatpuri, India",Entire Place,481,10,4.650204081632653,19.69109,73.57564
"Jaipur, India",Entire Place,478,7,3.33,26.89797,75.79371
"Panchgani, India",Entire Place,481,16,4.650204081632653,17.91803574,73.81090967
"Kotagiri, India",Entire Place,471,16,4.650204081632653,11.42827227,76.85974585
"Bengaluru, India",Entire Place,481,16,5.0,12.86523,77.58067
"Lonavla, India",Entire Place,479,16,4.650204081632653,18.78225,73.38634
"Kasauli, India",Entire Place,430,16,4.9,30.88968,76.96528
"Chennai, India",Entire Place,398,15,4.75,12.88296,80.2506
"New Delhi, India",Private Room,481,2,4.8,28.56747,77.16195
"Kihim, India",Entire Place,436,10,4.94,18.73374,72.867
"Indore, India",Entire Place,430,16,4.650204081632653,22.734,75.943
"Krishnagiri, India",Private Room,421,16,4.650204081632653,12.80213,77.82934
"Moira, India",Entire Place,412,10,4.88,15.591,73.841
"Verla, India",Entire Place,421,16,4.75,15.58594,73.78018
"Shashbani, India",Entire Place,481,10,4.650204081632653,29.42878,79.67858
"Alibag, India",Entire Place,481,4,4.650204081632653,18.66683,72.87466
"Anjuna, India",Entire Place,405,6,4.86,15.583,73.759
"Sheel, India",Hotel/Other,467,14,4.650204081632653,31.1483,77.69797
"Ahmedabad, India",Entire Place,481,16,4.62,23.071,72.557
"New Delhi, India",Entire Place,481,10,4.57,28.45914,77.20017
"Lonavla, India",Entire Place,433,8,5.0,18.7532,73.3713
"Assagao, India",Entire Place,426,10,4.8,15.60216,73.78241
"Nerul, India",Entire Place,407,12,4.650204081632653,15.50139,73.79628
"Krishnagiri, India",Private Room,421,16,4.33,12.80346,77.82947
"Anjuna, India",Entire Place,411,7,4.650204081632653,15.60231,73.74936
"Canacona, India",Entire Place,421,7,5.0,14.96574,74.04822
"Pune, India",Entire Place,440,16,4.8,18.537,73.895
"Goa, India",Entire Place,425,16,4.92,15.535,73.767
"Arpora, India",Entire Place,481,12,4.650204081632653,15.55209,73.75725
"Pawnanagar, India",Hotel/Other,481,12,4.650204081632653,18.6985033,73.51855949
"Sadahalli, India",Entire Place,454,12,4.650204081632653,13.20511,77.63614
"Vashist, India",Entire Place,472,6,4.650204081632653,32.283,77.18
"Baga, India",Entire Place,481,15,4.650204081632653,15.56485,73.74799
"Goa, India",Entire Place,473,14,4.650204081632653,15.535,73.767
"Mandrem, India",Entire Place,445,4,4.650204081632653,15.65609,73.7169
"Candolim, India",Entire Place,481,10,4.650204081632653,15.51347,73.78744
"Karjat., India",Hotel/Other,481,16,4.650204081632653,19.72129,73.02592
"Candolim, India",Entire Place,481,15,4.650204081632653,15.51779,73.76391
"Hairiya Gaon, India",Entire Place,457,6,4.650204081632653,29.37481,79.5608
"Dehradun, India",Private Room,421,5,4.0,30.393,78.07247
"Ooty, India",Entire Place,465,16,4.73,11.41403,76.69173
"Calangute, India",Hotel/Other,455,3,4.650204081632653,15.53669,73.7588
"Udaipur, India",Private Room,481,12,4.650204081632653,24.58588,73.71219
"Bagalur, India",Hotel/Other,421,10,4.650204081632653,12.85945,77.87615
"Kochi, India",Entire Place,480,6,4.650204081632653,9.96183,76.23963
"Candolim, India",Entire Place,399,9,5.0,15.527,73.786
"Kochi, India",Entire Place,480,6,4.650204081632653,9.96072,76.23802
"Vagator, India",Entire Place,399,10,4.650204081632653,15.59492,73.75086
"Lucknow, India",Entire Place,397,16,5.0,26.857,81.001
"Marudanapalli, India",Private Room,409,16,4.650204081632653,12.5419,77.76
"North Goa, India",Entire Place,475,15,4.650204081632653,15.53261,73.7686
"Vagator, India",Entire Place,399,12,4.9,15.60502,73.75305
"Uttarakhand, India",Hotel/Other,412,12,4.5,30.06396,78.5186
"Lonavala, India",Entire Place,455,16,4.5,18.75567,73.40465
"Mumbai, India",Entire Place,454,16,4.650204081632653,19.14462,72.79349
"Alibag, India",Entire Place,469,16,4.650204081632653,18.60635,72.90085
"Kanathur, India",Entire Place,430,16,4.8,12.849,80.246
"Mandrem, India",Entire Place,397,12,4.650204081632653,15.67294,73.71444
